Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
United States of America,San Benito,124,Unhealthy for Sensitive Groups,2,Good,18,Good,5,Good,124,Unhealthy for Sensitive Groups,26.1298,-97.644,2024-03-02 04:00:00
Italy,San Martino Buon Albergo,125,Unhealthy for Sensitive Groups,2,Good,31,Good,6,Good,125,Unhealthy for Sensitive Groups,45.4167,11.1,2024-03-02 05:00:00
Philippines,San Nicolas,62,Moderate,1,Good,23,Good,1,Good,62,Moderate,16.07,120.7653,2024-03-02 06:00:00
India,Sandur,57,Moderate,0,Good,24,Good,0,Good,57,Moderate,61.8344,-6.8171,2024-03-02 07:00:00
Spain,Sant Just Desvern,62,Moderate,1,Good,23,Good,9,Good,62,Moderate,41.3833,2.075,2024-03-02 08:00:00
Italy,Santa Marinella,37,Good,1,Good,37,Good,2,Good,19,Good,42.0333,11.85,2024-03-02 09:00:00
United States of America,Sapulpa,71,Moderate,1,Good,31,Good,2,Good,71,Moderate,36.0091,-96.1003,2024-03-02 10:00:00
Brazil,Saubara,26,Good,0,Good,16,Good,2,Good,26,Good,-12.7378,-38.7689,2024-03-02 11:00:00
Thailand,Sawankhalok,73,Moderate,0,Good,23,Good,0,Good,73,Moderate,17.3099,99.8263,2024-03-02 12:00:00
Germany,Ottweiler,52,Moderate,1,Good,30,Good,3,Good,52,Moderate,49.3667,7.1667,2024-03-02 13:00:00
Brazil,Palmeira,29,Good,0,Good,15,Good,0,Good,29,Good,-25.4289,-50.0058,2024-03-02 14:00:00
Romania,Pantelimon,50,Good,1,Good,37,Good,4,Good,50,Good,44.45,26.2,2024-03-02 15:00:00
United States of America,Park Forest,53,Moderate,2,Good,32,Good,9,Good,53,Moderate,41.4817,-87.6867,2024-03-02 16:00:00
Brazil,Pato Branco,17,Good,1,Good,17,Good,0,Good,13,Good,-26.2289,-52.6708,2024-03-02 17:00:00
Indonesia,Payakumbuh,61,Moderate,1,Good,25,Good,0,Good,61,Moderate,-0.2333,100.6333,2024-03-02 18:00:00
United States of America,Pflugerville,29,Good,1,Good,20,Good,2,Good,29,Good,30.4515,-97.6018,2024-03-02 19:00:00
Italy,Polistena,59,Moderate,1,Good,43,Good,3,Good,59,Moderate,38.4,16.0667,2024-03-02 20:00:00
Japan,Shiojiri,42,Good,1,Good,42,Good,0,Good,10,Good,36.115,137.9534,2024-03-02 21:00:00
India,Sikandarpur,186,Unhealthy,5,Good,182,Unhealthy,1,Good,186,Unhealthy,25.3256,86.5051,2024-03-02 22:00:00
Colombia,Sincelejo,62,Moderate,2,Good,1,Good,8,Good,62,Moderate,9.295,-75.3961,2024-03-02 23:00:00
India,Sirsi,54,Moderate,0,Good,24,Good,0,Good,54,Moderate,28.64,78.64,2024-03-03 00:00:00
United States of America,Smyrna,70,Moderate,1,Good,28,Good,5,Good,70,Moderate,33.8633,-84.5168,2024-03-03 01:00:00
Madagascar,Soavinandriana,44,Good,1,Good,21,Good,0,Good,44,Good,-19.1667,46.7333,2024-03-03 02:00:00
United States of America,Solana Beach,66,Moderate,2,Good,7,Good,24,Good,66,Moderate,32.9943,-117.2574,2024-03-03 03:00:00
United States of America,Swansea,34,Good,1,Good,24,Good,8,Good,34,Good,41.7571,-71.212,2024-03-03 04:00:00
United Kingdom of Great Britain and Northern Ireland,Swindon,50,Good,1,Good,21,Good,6,Good,50,Good,51.56,-1.78,2024-03-03 05:00:00
Canada,Sylvan Lake,39,Good,1,Good,39,Good,0,Good,10,Good,52.3083,-114.0964,2024-03-03 06:00:00
United States of America,Syosset,69,Moderate,2,Good,13,Good,24,Good,69,Moderate,40.8157,-73.502,2024-03-03 07:00:00
Japan,Takarazuka,42,Good,1,Good,42,Good,2,Good,19,Good,34.8114,135.3406,2024-03-03 08:00:00
Japan,Takeo,49,Good,1,Good,49,Good,0,Good,36,Good,10.9833,104.7833,2024-03-03 09:00:00
Japan,Taketa,50,Good,1,Good,50,Good,0,Good,34,Good,32.9667,131.4,2024-03-03 10:00:00
